Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
90	1029.1666	672.9001	1919.0	211.0	574.6667	175.71925	33.84727	187.43776	27.71487	364000	6.6757204e-09	2252.2996	-0.023928411	-618.9874	0.78228223	0.008801066	0.08375	79.0	350.2670395374298
91	1510.0	699.197	1922.0	299.0	802.75	167.4781	25.30495	179.28883	13.677582	368000	-2.8431415e-08	1827.6467	-0.023418097	-659.05176	0.76251507	0.007831546	0.095	79.0	354.4228706359863
92	1912.5	7.0887237	1923.0	1903.0	1000.0	180.37039	1.9840205	182.6964	138.64264	372000	-2.436638e-07	105.874855	-0.01929585	-96.7549	0.74013126	0.0027817965	0.0555	79.0	358.57351636886597
93	1915.25	3.0310888	1919.0	1911.0	1000.0	189.86517	1.2102368	191.03273	133.66089	376000	3.004074e-08	7.0692763	-0.019254677	-3.1931293	0.70231974	0.005529252	0.0565	79.0	362.70956659317017
94	1912.75	7.5952287	1922.0	1903.0	1000.0	191.29118	0.74749035	192.4412	182.72916	380000	-6.0796737e-09	3.8776865	-0.023312395	-0.39726377	0.6864203	0.0031625768	0.07925	79.0	366.97296833992004
95	1412.4	629.50543	1920.0	469.0	757.0	189.29243	9.725364	192.3232	66.44529	384000	8.940697e-09	1956.7732	-0.0272274	-864.27893	0.65175444	0.012327027	0.11575	60.0	370.9513955116272
96	1821.25	172.50562	1934.0	1523.0	961.25	182.54959	3.5630145	184.3733	101.57867	388000	-5.125999e-09	974.98724	-0.019304814	-732.16	0.6528167	0.0028527733	0.06775	79.0	375.13544392585754
97	1914.75	3.6996622	1920.0	1910.0	1000.0	186.11517	14.538156	189.76349	14.304914	392000	1.4901161e-08	224.88496	-0.01918066	-219.27518	0.65844256	0.004184447	0.05025	79.0	379.37120842933655
98	1253.2	819.8633	1922.0	120.0	675.0	190.25027	10.342734	191.69707	26.468166	396000	-1.3232231e-08	1598.5316	-0.0060619432	-534.2882	0.6383204	0.013701394	0.213	4.0	382.30363965034485
99	1915.5	13.683932	1937.0	1899.0	1000.0	184.83444	4.0864944	186.63791	55.690437	400000	-1.66893e-08	57.167355	-0.013330296	-51.975304	0.63791287	0.0074428804	0.0465	79.0	386.2571222782135
100	1910.25	9.959292	1921.0	1896.0	1000.0	190.58652	3.6060336	191.32762	124.96039	404000	-9.000302e-09	14.363254	-0.016424201	-9.6925335	0.6204248	0.008209003	0.0655	79.0	389.9107823371887
101	1910.5	6.1032777	1918.0	1901.0	1000.0	190.88959	0.9382784	191.16193	179.3499	408000	2.8014184e-09	4.687585	-0.022364821	-0.5512934	0.5874597	0.0044735153	0.069	79.0	393.57845091819763
102	1472.6	727.42413	1928.0	43.0	790.0	189.00143	14.780894	191.11044	24.163422	412000	-3.6954881e-09	1413.0593	-0.020592483	-519.54333	0.55344534	0.0121199405	0.1195	21.0	396.6044411659241
103	1925.75	6.4951906	1934.0	1916.0	1000.0	182.73999	19.475353	187.01265	11.361047	416000	2.7775766e-08	446.6675	-0.022703325	-440.48923	0.5517545	0.0110262465	0.096	79.0	400.13506031036377
104	1925.25	9.39082	1931.0	1909.0	1000.0	192.07791	1.7950121	192.48787	112.24842	420000	-1.8954276e-08	6.5203586	-0.019647319	-2.3699412	0.5316096	0.0059477338	0.0805	79.0	403.89983916282654
105	1911.75	3.9607449	1915.0	1905.0	1000.0	191.5154	6.0671782	192.61458	116.41612	424000	-1.0967255e-08	32.94355	-0.0023245253	-28.546516	0.5060849	0.012736508	0.18725	2.0	406.7944030761719
106	1791.25	212.04878	1918.0	1424.0	949.0	189.0027	14.808336	191.67639	-16.815626	428000	1.3589859e-08	602.51697	-0.023541277	-182.56644	0.5058012	0.0017093751	0.083	79.0	410.4643907546997
107	1907.5	4.092676	1914.0	1904.0	1000.0	188.17915	2.5892994	189.28621	142.15895	432000	-3.1352045e-08	14.399087	-0.020612152	-10.663074	0.5116443	0.003529924	0.06375	79.0	414.1155004501343
108	1917.25	10.084022	1928.0	1904.0	1000.0	190.35081	2.3856866	190.6885	124.582756	436000	-2.3841856e-08	10.586699	-0.021941518	-6.7421246	0.4868493	0.0019512423	0.06875	79.0	417.8133180141449
109	1931.75	3.269174	1936.0	1927.0	1000.0	191.67274	0.6077684	191.89064	182.80215	440000	7.390976e-09	4.160707	-0.022813438	-1.9327066	0.46530584	0.010084697	0.0825	79.0	421.6340253353119
110	1675.5	446.60413	1940.0	902.0	880.5	193.0726	0.4141893	193.14685	177.70946	444000	-5.6028364e-09	1075.3402	-0.016705794	-166.14111	0.44101998	0.003643817	0.0805	79.0	425.16410398483276
111	1470.0	754.70654	1933.0	-14.0	785.6	184.74901	10.023682	186.81857	40.987904	448000	-1.2636185e-08	1514.8073	-0.026898118	-769.84546	0.4453459	0.0067285635	0.1045	79.0	428.8916482925415
112	1517.75	711.1597	1934.0	286.0	800.5	187.48483	8.699427	189.27684	39.60506	452000	4.5299533e-09	1012.3847	-0.004691276	-103.323425	0.4549722	0.016110374	0.165	3.0	434.1136953830719
113	1914.25	9.575359	1927.0	1905.0	1000.0	185.41794	6.2808423	187.23486	24.288874	456000	-2.193451e-08	68.274	1.37295765e-05	-56.92507	0.4552631	0.01468736	0.16275	2.0	436.9940228462219
114	1912.25	9.283722	1926.0	1900.0	1000.0	187.65044	11.456266	190.64432	106.130165	460000	2.980232e-09	110.49615	-0.0005259829	-106.220276	0.45542526	0.017121708	0.19725	2.0	439.83451294898987
115	1572.0	604.5569	1935.0	525.0	832.5	191.23962	1.3071243	191.56769	149.70216	464000	-1.8298627e-08	1061.9945	-0.0049662744	-117.28162	0.45539477	0.01561626	0.1855	2.0	442.63391041755676
116	1584.0	591.8247	1937.0	559.0	835.5	184.72604	7.527077	185.32407	2.857558	468000	1.7881385e-10	973.25616	-0.027669951	-158.7478	0.45537767	0.004729152	0.07275	79.0	446.50618147850037
117	1822.25	152.981	1921.0	1558.0	966.5	184.82356	5.9037824	185.98177	13.952285	472000	-9.9241735e-09	1000.7227	-0.02308684	-582.0377	0.45240876	0.011006003	0.0965	79.0	450.30292868614197
118	1426.5	524.48334	1916.0	668.0	770.25	182.92216	28.303337	190.23567	-17.23143	476000	1.8596648e-08	818.9223	-0.02841986	-209.09448	0.4463858	0.008621899	0.0875	79.0	454.0949852466583
119	1700.75	372.29047	1923.0	1056.0	903.25	180.704	22.244751	188.51405	-15.103736	480000	-9.417533e-09	1378.6593	-0.017033642	-446.2995	0.45703754	0.016033033	0.171	14.0	457.05447030067444
120	1463.0	724.05164	1929.0	48.0	785.4	182.37169	16.158403	185.13069	-23.543774	484000	1.66893e-08	1303.8276	-0.022437874	-271.49878	0.46138474	0.0064079273	0.12675	79.0	460.8582806587219
121	1527.5	695.42413	1933.0	323.0	806.0	183.25877	7.69922	186.444	41.278137	488000	1.3947487e-08	1075.4725	-0.021132922	-124.911865	0.45701995	0.008912143	0.096	79.0	464.70020937919617
122	1543.75	640.18445	1926.0	435.0	819.25	184.38484	7.328939	190.3482	6.2836294	492000	-5.4836273e-09	965.4836	-0.022531793	-77.9491	0.45245025	0.0070552	0.11775	79.0	468.58608770370483
